,x,y,t
0,1,-17.38264741973218,0.08594036102294922
1,2,-17.223363258882163,0.27031564712524414
2,3,-17.223363258882163,0.36689138412475586
3,4,-17.223363258882163,0.5163633823394775
4,5,-17.223363258882163,0.6683712005615234
5,6,-17.223363258882163,0.8037223815917969
6,7,-17.223363258882163,0.9487171173095703
7,8,-17.223363258882163,1.1431419849395752
8,9,-17.223363258882163,329.01847791671753
9,10,-17.223363258882163,695.6671347618103
10,11,-17.14294207001282,982.2937791347504
11,12,-17.14294207001282,1259.4016470909119
12,13,-17.14294207001282,1548.1111385822296
13,14,-17.12446762630401,2134.395121574402
14,15,-17.12446762630401,2456.3897938728333
15,16,-17.12446762630401,2655.83385515213
16,17,-17.12446762630401,3011.269017934799
17,18,-17.12446762630401,3249.6296639442444
18,19,-17.12446762630401,3650.30660033226
19,20,-17.12446762630401,4011.2257282733917
20,21,-17.12446762630401,4399.921742677689
21,22,-17.12446762630401,4732.554210424423
22,23,-17.12446762630401,5101.617591619492
23,24,-17.12446762630401,5572.513625383377
24,25,-17.12446762630401,6150.09629368782
25,26,-17.12446762630401,6563.622152805328
26,27,-17.096007517404484,7200.677748441696
27,28,-17.096007517404484,7461.744302272797
28,29,-17.096007517404484,7799.861806869507
29,30,-17.057591198183296,10561.516979455948
30,31,-17.057591198183296,11808.22583270073
31,32,-17.057591198183296,12003.70985507965
32,33,-17.057591198183296,12388.400965452194
33,34,-17.057591198183296,14800.183841705322
34,35,-17.057591198183296,15121.379771709442
35,36,-17.057591198183296,15518.510015964508
36,37,-17.057591198183296,15592.07010269165
37,38,-17.057591198183296,15792.902002573013
38,39,-17.057591198183296,16011.970341682434
39,40,-17.057591198183296,16165.893396615982
40,41,-17.057591198183296,16667.793336629868
41,42,-17.057591198183296,16748.76215982437
42,43,-17.057591198183296,16997.310032129288
43,44,-17.057591198183296,17099.77476286888
44,45,-17.057591198183296,17451.702147245407
45,46,-17.057591198183296,17743.47012233734
46,47,-17.057591198183296,17806.342094182968
47,48,-17.057591198183296,18354.582213163376
48,49,-17.057591198183296,18420.533446788788
49,50,-17.057591198183296,19564.474313735962
50,51,-17.057591198183296,19800.643744945526
51,52,-17.057591198183296,19934.79083299637
52,53,-17.057591198183296,20001.53596997261
53,54,-17.057591198183296,20616.594277620316
54,55,-17.057591198183296,20774.918443202972
55,56,-17.057591198183296,21337.26540493965
56,57,-17.057591198183296,21463.768398046494
57,58,-17.057591198183296,21539.370297670364
58,59,-17.057591198183296,22575.79437971115
59,60,-17.057591198183296,22690.668266534805
60,61,-17.057591198183296,22771.870270967484
61,62,-17.057591198183296,23005.710283517838
62,63,-17.057591198183296,23096.95446419716
63,64,-17.057591198183296,23167.957597255707
64,65,-17.057591198183296,23454.286527872086
65,66,-17.057591198183296,23692.026525974274
66,67,-17.057591198183296,23766.798380613327
67,68,-17.057591198183296,24075.753736019135
68,69,-17.057591198183296,24497.50255393982
69,70,-17.057591198183296,25014.552098989487
70,71,-17.057591198183296,25100.943860769272
71,72,-17.057591198183296,25432.33723473549
72,73,-17.057591198183296,26004.159369707108
73,74,-17.057591198183296,26166.8258330822
74,75,-17.057591198183296,26387.74256515503
75,76,-17.057591198183296,26404.995950222015
76,77,-17.057591198183296,27436.389012098312
77,78,-17.057591198183296,28985.86282467842
78,79,-17.057591198183296,29772.94269657135
79,80,-17.057591198183296,30162.19488787651
80,81,-17.057591198183296,30234.894675016403
81,82,-17.057591198183296,30278.490668296814
82,83,-17.057591198183296,30769.97475337982
83,84,-17.057591198183296,31034.410925865173
84,85,-17.057591198183296,31101.39243364334
85,86,-17.057591198183296,31692.046916484833
86,87,-17.057591198183296,31797.826842069626
87,88,-17.057591198183296,32051.2587454319
88,89,-17.057591198183296,32138.110731124878
89,90,-17.057591198183296,32425.34645295143
90,91,-17.057591198183296,32512.702684640884
91,92,-17.057591198183296,32839.24783825874
92,93,-17.057591198183296,32939.306946992874
93,94,-17.057591198183296,33062.7980825901
94,95,-17.057591198183296,33118.210633039474
95,96,-17.057591198183296,33383.72699999809
96,97,-17.057591198183296,33498.62554359436
97,98,-17.057591198183296,33588.50876688957
98,99,-17.057591198183296,33655.387004852295
99,100,-17.057591198183296,34218.867013931274
